Ticket #,Date Issue,Location,Type,Hour,Day
24P0800001,2024-01-02 08:54:00,MILTON ST,048,8,Tuesday
24P0800002,2024-01-02 08:55:00,MILTON ST,048,8,Tuesday
24P0800003,2024-01-02 08:57:00,SAINT JAMES CT,048,8,Tuesday
24P0800004,2024-01-02 09:01:00,SAINT JAMES CT,048,9,Tuesday
24P0800005,2024-01-02 09:03:00,SAINT JAMES CT,048,9,Tuesday
24P0800006,2024-01-02 09:04:00,SAINT JAMES CT,048,9,Tuesday
24P0800007,2024-01-02 09:07:00,MOUND ST,048,9,Tuesday
24P0800008,2024-01-02 09:09:00,MOUND ST,048,9,Tuesday
24P0800009,2024-01-02 09:11:00,CHANDLER ST,048,9,Tuesday
24P0800010,2024-01-02 09:13:00,CHANDLER ST,048,9,Tuesday
24P0800011,2024-01-02 09:14:00,CHANDLER ST,048,9,Tuesday
24P0800012,2024-01-02 09:16:00,CHANDLER ST,048,9,Tuesday
24P0800013,2024-01-02 09:20:00,VILAS AVE,048,9,Tuesday
24P0800014,2024-01-02 09:21:00,VILAS AVE,048,9,Tuesday
24P0800015,2024-01-02 09:23:00,VILAS AVE,048,9,Tuesday
24P0800016,2024-01-02 09:27:00,VILAS AVE,048,9,Tuesday
24P0800017,2024-01-02 09:31:00,DRAKE ST,048,9,Tuesday
24P0800018,2024-01-02 09:33:00,DRAKE ST,048,9,Tuesday
24P0800019,2024-01-02 09:41:00,ERIN ST,048,9,Tuesday
24P0800020,2024-01-02 09:43:00,ERIN ST,048,9,Tuesday
24P0800021,2024-01-02 09:45:00,ERIN ST,048,9,Tuesday
24P0800022,2024-01-02 09:50:00,ERIN ST,048,9,Tuesday
24P0800023,2024-01-02 09:51:00,ERIN ST,048,9,Tuesday
24P0800024,2024-01-02 09:53:00,ERIN ST,048,9,Tuesday
24P0800025,2024-01-02 09:55:00,ERIN ST,048,9,Tuesday
24P0800026,2024-01-02 09:59:00,EMERALD ST,048,9,Tuesday
24P0800027,2024-01-02 10:05:00,WINGRA DR,048,10,Tuesday
24P0800028,2024-01-02 10:06:00,WINGRA DR,048,10,Tuesday
24P0800029,2024-01-02 10:08:00,WINGRA DR,048,10,Tuesday
24P0800030,2024-01-02 10:20:00,SPRING ST,048,10,Tuesday
24P0800031,2024-01-02 10:21:00,SPRING ST,048,10,Tuesday
24P0800032,2024-01-02 10:25:00,SPRING ST,048,10,Tuesday
24P0800033,2024-01-02 10:29:00,SPRING ST,048,10,Tuesday
24P0800034,2024-01-02 10:31:00,SPRING ST,048,10,Tuesday
24P0800035,2024-01-02 10:31:00,SPRING ST,048,10,Tuesday
24P0800036,2024-01-02 10:32:00,SPRING ST,048,10,Tuesday
24P0800037,2024-01-02 10:34:00,SPRING ST,048,10,Tuesday
24P0800038,2024-01-02 10:36:00,SPRING ST,048,10,Tuesday
24P0800039,2024-01-02 10:44:00,CAPITOL CT,048,10,Tuesday
24P0800040,2024-01-02 10:46:00,CAPITOL CT,048,10,Tuesday
24P0800041,2024-01-02 10:48:00,ORCHARD ST,046,10,Tuesday
24P0800042,2024-01-02 10:55:00,WINGRA DR,048,10,Tuesday
24P0800043,2024-01-02 12:33:00,LAKESIDE ST,048,12,Tuesday
24P0800044,2024-01-02 12:35:00,LAKESIDE ST,048,12,Tuesday
24P0800045,2024-01-02 12:56:00,PINE ST,048,12,Tuesday
24P0800046,2024-01-03 08:39:00,RANDALL AVE,048,8,Wednesday
24P0800047,2024-01-03 08:51:00,ORCHARD ST,048,8,Wednesday
24P0800048,2024-01-03 08:53:00,ORCHARD ST,048,8,Wednesday
24P0800049,2024-01-03 08:55:00,ORCHARD ST,048,8,Wednesday
24P0800050,2024-01-03 08:56:00,ORCHARD ST,048,8,Wednesday
24P0800051,2024-01-03 08:58:00,ORCHARD ST,048,8,Wednesday
24P0800052,2024-01-03 08:59:00,ORCHARD ST,048,8,Wednesday
24P0800053,2024-01-03 09:03:00,CHARTER ST,048,9,Wednesday
24P0800054,2024-01-03 09:06:00,CHARTER ST,048,9,Wednesday
24P0800055,2024-01-03 09:07:00,CHARTER ST,048,9,Wednesday
24P0800056,2024-01-03 09:12:00,RANDALL AVE,048,9,Wednesday
24P0800057,2024-01-03 09:16:00,CHARTER ST,048,9,Wednesday
24P0800058,2024-01-03 09:20:00,BROOKS ST,048,9,Wednesday
24P0800059,2024-01-03 09:25:00,BROOKS ST,048,9,Wednesday
24P0800060,2024-01-03 09:27:00,BROOKS ST,048,9,Wednesday
24P0800061,2024-01-03 09:29:00,BROOKS ST,048,9,Wednesday
24P0800062,2024-01-03 09:32:00,BROOKS ST,048,9,Wednesday
24P0800063,2024-01-03 09:34:00,BROOKS ST,048,9,Wednesday
24P0800064,2024-01-03 10:47:00,LOWELL ST,048,10,Wednesday
24P0800065,2024-01-03 10:51:00,GILSON ST,048,10,Wednesday
24P0800066,2024-01-03 10:56:00,LAWRENCE ST,048,10,Wednesday
24P0800067,2024-01-03 10:58:00,LAWRENCE ST,048,10,Wednesday
24P0800068,2024-01-03 11:09:00,ROWELL ST,048,11,Wednesday
24P0800069,2024-01-03 11:10:00,ROWELL ST,048,11,Wednesday
24P0800070,2024-01-03 12:33:00,WINGRA DR,Parking,12,Wednesday
24P0800071,2024-01-03 12:35:00,WINGRA DR,Parking,12,Wednesday
24P0800072,2024-01-03 12:37:00,WINGRA DR,Parking,12,Wednesday
24P0800073,2024-01-03 12:39:00,WINGRA DR,Parking,12,Wednesday
24P0800074,2024-01-03 12:41:00,WINGRA DR,Parking,12,Wednesday
24P0800075,2024-01-03 12:42:00,WINGRA DR,Parking,12,Wednesday
24P0800076,2024-01-03 12:47:00,MOUND ST,Parking,12,Wednesday
24P0800077,2024-01-03 12:49:00,MOUND ST,Parking,12,Wednesday
24P0800078,2024-01-03 12:52:00,MOUND ST,Parking,12,Wednesday
24P0800079,2024-01-03 12:54:00,MOUND ST,Parking,12,Wednesday
24P0800080,2024-01-03 12:56:00,MOUND ST,Parking,12,Wednesday
24P0800081,2024-01-03 12:57:00,MOUND ST,Parking,12,Wednesday
24P0800082,2024-01-03 13:00:00,MOUND ST,Parking,13,Wednesday
24P0800083,2024-01-03 13:01:00,MOUND ST,Parking,13,Wednesday
24P0800084,2024-01-03 13:02:00,MOUND ST,Parking,13,Wednesday
24P0800085,2024-01-03 13:03:00,MOUND ST,Parking,13,Wednesday
24P0800086,2024-01-03 13:04:00,MOUND ST,Parking,13,Wednesday
24P0800087,2024-01-03 13:07:00,MILTON ST,Parking,13,Wednesday
24P0800088,2024-01-03 13:08:00,MILTON ST,Parking,13,Wednesday
24P0800089,2024-01-03 13:11:00,MILTON ST,Parking,13,Wednesday
24P0800090,2024-01-03 13:13:00,MILTON ST,Parking,13,Wednesday
24P0800091,2024-01-03 13:15:00,MILLS ST,Parking,13,Wednesday
24P0800092,2024-01-03 13:18:00,MILLS ST,Parking,13,Wednesday
24P0800093,2024-01-04 08:58:00,ORCHARD ST,048,8,Thursday
24P0800094,2024-01-04 08:59:00,ORCHARD ST,048,8,Thursday
24P0800095,2024-01-04 09:04:00,ORCHARD ST,048,9,Thursday
24P0800096,2024-01-04 09:07:00,ORCHARD ST,048,9,Thursday
24P0800097,2024-01-04 09:15:00,MILLS ST,048,9,Thursday
24P0800098,2024-01-04 09:16:00,MILLS ST,048,9,Thursday
24P0800099,2024-01-04 09:18:00,MILLS ST,048,9,Thursday
24P0800100,2024-01-04 09:21:00,HIGH ST,048,9,Thursday
24P0800101,2024-01-04 09:43:00,BROOKS ST,048,9,Thursday
24P0800102,2024-01-04 09:49:00,MILLS ST,046,9,Thursday
24P0800103,2024-01-04 09:49:00,MILLS ST,050,9,Thursday
24P0800104,2024-01-04 09:53:00,RANDALL AVE,048,9,Thursday
24P0800105,2024-01-04 09:55:00,RANDALL AVE,048,9,Thursday
24P0800106,2024-01-04 09:56:00,RANDALL AVE,048,9,Thursday
24P0800107,2024-01-04 09:58:00,RANDALL AVE,048,9,Thursday
24P0800108,2024-01-04 09:59:00,RANDALL AVE,048,9,Thursday
24P0800109,2024-01-04 10:03:00,ORCHARD ST,048,10,Thursday
24P0800110,2024-01-04 11:55:00,ROWELL ST,048,11,Thursday
24P0800111,2024-01-04 12:02:00,GILSON ST,048,12,Thursday
24P0800112,2024-01-04 12:04:00,GILSON ST,075,12,Thursday
24P0800113,2024-01-04 12:11:00,BELD ST,048,12,Thursday
24P0800114,2024-01-04 12:17:00,SOUTH ST,Parking,12,Thursday
24P0800115,2024-01-04 12:19:00,SOUTH ST,Parking,12,Thursday
